anio_sin_datos,tambien_sin_datos_otro_anio,circuito_key,circuito_geo,partido_geo,indec_p,indec_d,cde_from_circuit,features_con_mismo_circuito
2023,True,314A,0314A,General Arenales,02,294,02294,1
2023,False,388A,0388A,General San Martin,02,371,02371,1
2023,False,388B,0388B,General San Martin,02,371,02371,1
2023,False,388C,0388C,General San Martin,02,371,02371,1
2023,True,548B,0548B,General Las Heras,06,329,06329,1
2023,True,569A,0569A,Lobersa,06,476,06476,1
2023,True,621A,0621A,Mar Chiquita,06,518,06518,1
2023,True,691A,0691A,Necochea,06,581,06581,1
2023,True,701A,0701A,9 de Julio,06,588,06588,1
2023,True,738A,0738A,Pehuaj,06,609,06609,1
2023,True,742A,0742A,Hipnlito Yrigoyen,06,406,06406,1
2023,True,753A,0753A,Pergamino,02,623,02623,1
2023,True,765A,0765A,Pila,06,630,06630,1
2023,True,775A,0775A,Escobar,06,252,06252,1
2023,True,871D,0871D,San Cayetano,06,742,06742,1
2023,True,907A,0907A,San Nicolrs,06,763,06763,1
2023,True,922A,0922A,San Pedro,06,770,06770,1
2023,True,929A,0929A,Suipacha,06,784,06784,1
2023,True,959A,0959A,Trenque Lauquen,06,826,06826,1
2023,True,961B,0961B,Trenque Lauquen,06,826,06826,1
2023,True,1013A,1013A,Zurate,06,882,06882,1
2023,True,314_2,0314_2,General Arenales,02,294,02294,1
2025,True,2,0002,Adolfo Alsina,06,007,06007,1
2025,True,4,0004,Adolfo Alsina,06,007,06007,1
2025,True,48,0048,Ayacucho,06,042,06042,1
2025,True,49,0049,Ayacucho,06,042,06042,1
2025,True,51,0051,Ayacucho,06,042,06042,1
2025,True,53,0053,Ayacucho,06,042,06042,1
2025,False,56,0056,Ayacucho,06,042,06042,1
2025,True,64,0064,Azul,06,049,06049,1
2025,True,68,0068,Azul,06,049,06049,1
2025,True,69,0069,Azul,06,049,06049,1
2025,True,108,0108,Baradero,06,070,06070,1
2025,True,109,0109,Baradero,06,070,06070,1
2025,True,114,0114,Baradero,06,070,06070,1
2025,True,130,0130,Bolnvar,06,105,06105,1
2025,True,161,0161,Caeuelas,06,133,06133,1
2025,True,186,0186,Castelli,06,168,06168,1
2025,True,192,0192,Chacabuco,06,210,06210,1
2025,True,194,0194,Chacabuco,06,210,06210,1
2025,True,196,0196,Chacabuco,06,210,06210,1
2025,True,206,0206,ChascomAs,06,217,06217,1
2025,True,208,0208,ChascomAs,06,217,06217,1
2025,True,213,0213,Chivilcoy,06,224,06224,1
2025,True,214,0214,Chivilcoy,06,224,06224,1
2025,True,217,0217,Chivilcoy,06,224,06224,1
2025,True,223,0223,Chivilcoy,06,224,06224,1
2025,True,225,0225,Chivilcoy,06,224,06224,1
2025,True,241,0241,Coronel Pringles,06,196,06196,1
2025,True,242,0242,Coronel Pringles,06,196,06196,1
2025,True,244,0244,Coronel Pringles,06,196,06196,1
2025,True,245,0245,Coronel Pringles,06,196,06196,1
2025,True,256,0256,Coronel Suerez,06,203,06203,1
2025,True,257,0257,Coronel Suerez,06,203,06203,1
2025,True,281,0281,Dolores,06,238,06238,1
2025,True,283,0283,Dolores,06,238,06238,1
2025,True,284,0284,Dolores,06,238,06238,1
2025,True,296,0296,Exaltaciin de la Cruz,06,266,06266,1
2025,True,313,0313,General Alvear,06,287,06287,1
2025,True,321,0321,General Belgrano,06,301,06301,1
2025,True,323,0323,General Belgrano,06,301,06301,1
2025,True,328,0328,General Guido,06,308,06308,1
2025,True,331,0331,General Lamadrid,06,322,06322,1
2025,True,333,0333,General Lamadrid,06,322,06322,1
2025,False,342,0342,General Juan Madariaga,06,315,06315,1
2025,True,347,0347,General Paz,06,343,06343,1
2025,True,355,0355,General Pinto,06,351,06351,1
2025,True,356,0356,General Pinto,06,351,06351,1
2025,True,410,0410,General Viamonte,06,385,06385,1
2025,True,422,0422,General Villegas,06,392,06392,1
2025,True,438,0438,Benito Jurrez,06,084,06084,1
2025,True,442,0442,Benito Jurrez,06,084,06084,1
2025,False,448,0448,Junnn,06,413,06413,1
2025,True,455,0455,Junnn,06,413,06413,1
2025,True,525,0525,Laprida,06,448,06448,1
2025,True,526,0526,Laprida,06,448,06448,1
2025,True,527,0527,Laprida,06,448,06448,1
2025,True,555,0555,Lincoln,06,469,06469,1
2025,True,560,0560,Lincoln,06,469,06469,1
2025,True,571,0571,Lobersa,06,476,06476,1
2025,True,662,0662,Monte,06,547,06547,1
2025,True,689,0689,Necochea,06,581,06581,1
2025,True,713,0713,Olavarria,02,595,02595,1
2025,True,721,0721,Olavarria,02,595,02595,1
2025,True,722,0722,Olavarria,02,595,02595,1
2025,True,724,0724,Olavarria,02,595,02595,1
2025,True,726,0726,Olavarria,02,595,02595,1
2025,True,799,0799,Ramallo,06,665,06665,1
2025,True,802,0802,Ramallo,06,665,06665,1
2025,True,809,0809,Rauch,06,672,06672,1
2025,True,821,0821,Rivadavia,06,679,06679,1
2025,True,837,0837,Roque PArez,06,693,06693,1
2025,True,862,0862,San Andres de Giles,02,728,02728,1
2025,True,868,0868,San Antonio de Areco,06,735,06735,1
2025,True,881,0881,San Fernando,06,749,06749,1
2025,True,916,0916,San Pedro,06,770,06770,1
2025,True,921,0921,San Pedro,06,770,06770,1
2025,True,935,0935,Tandil,06,791,06791,1
2025,True,936,0936,Tandil,06,791,06791,1
2025,True,959,0959,Trenque Lauquen,06,826,06826,1
2025,True,974,0974,Tres Arroyos,06,833,06833,1
2025,True,976,0976,Tres Arroyos,06,833,06833,1
2025,True,977,0977,Tres Arroyos,06,833,06833,1
2025,True,978,0978,Tres Arroyos,06,833,06833,1
2025,True,987,0987,25 de Mayo,06,854,06854,1
2025,True,171A,0171A,Carlos Tejedor,02,154,02154,1
2025,True,209A,0209A,ChascomAs,06,217,06217,1
2025,True,232A,0232A,Coronel Dorrego,06,189,06189,1
2025,True,314A,0314A,General Arenales,02,294,02294,1
2025,True,548B,0548B,General Las Heras,06,329,06329,1
2025,True,569A,0569A,Lobersa,06,476,06476,1
2025,True,621A,0621A,Mar Chiquita,06,518,06518,1
2025,True,691A,0691A,Necochea,06,581,06581,1
2025,True,701A,0701A,9 de Julio,06,588,06588,1
2025,False,719A,0719A,Olavarria,02,595,02595,1
2025,True,738A,0738A,Pehuaj,06,609,06609,1
2025,True,742A,0742A,Hipnlito Yrigoyen,06,406,06406,1
2025,True,753A,0753A,Pergamino,02,623,02623,1
2025,True,765A,0765A,Pila,06,630,06630,1
2025,True,775A,0775A,Escobar,06,252,06252,1
2025,True,871D,0871D,San Cayetano,06,742,06742,1
2025,True,907A,0907A,San Nicolrs,06,763,06763,1
2025,True,922A,0922A,San Pedro,06,770,06770,1
2025,True,929A,0929A,Suipacha,06,784,06784,1
2025,True,959A,0959A,Trenque Lauquen,06,826,06826,1
2025,True,961B,0961B,Trenque Lauquen,06,826,06826,1
2025,True,1013A,1013A,Zurate,06,882,06882,1
2025,True,314_2,0314_2,General Arenales,02,294,02294,1
